,PGC,re,amp,n
631,PGC12556,,,
632,PGC12558,42.171,0.00033769634597377726,3.372
633,PGC12559,,,
634,PGC12562,16.821,0.000532307238358353,3.148
635,PGC125646,,fit fail,fit fail
636,PGC12568,,,
637,PGC12569,24.872,0.0282862548275195,0.488
638,PGC12570,,,
639,PGC12575,120.456,6.227287186647554e-05,3.565
640,PGC12576,,,
641,PGC12578,,,
642,PGC12580,,,
643,PGC12597,,,
644,PGC12607,10.129,0.033186074310952496,1.6
645,PGC12608,50.338,0.004802535303599071,0.801
646,PGC12626,,,
647,PGC12627,,,
648,PGC12628,12.964,0.03228175770705999,0.938
649,PGC12633,23.179,0.032373046812182615,0.594
650,PGC12650,38.106,0.004669423417381162,0.536
651,PGC12651,115.602,0.0010815760553417816,2.301
652,PGC12653,118.138,0.0010979716878098795,4.184
653,PGC12662,,,
654,PGC12664,41.418,0.010248625035408866,0.84
655,PGC12666,37.351,0.012268025813087299,0.287
656,PGC126708,,,
657,PGC12671,,,
658,PGC12691,,,
659,PGC12696,11.247,0.0314684533489692,0.5
660,PGC12697,52.191,0.006298812974809901,0.693
661,PGC12698,21.32,0.031230747030511506,0.674
662,PGC12701,,,
663,PGC12706,,,
664,PGC12708,24.33,0.008515711213804893,0.471
665,PGC12709,10.712,0.16884307797268952,0.583
666,PGC127219,15.743,0.00532669375258103,2.106
667,PGC127242,26.791,0.0005151534515618953,1.554
668,PGC12725,,,
669,PGC127323,15.404,0.007699051981825795,0.468
670,PGC127359,20.228,0.00010477970664977219,3.988
671,PGC12736,,,
672,PGC12737,80.198,0.008241767949054247,0.547
673,PGC127393,,,
674,PGC12747,,,
675,PGC12748,,,
676,PGC12754,,,
677,PGC12755,45.925,0.00014043787131533126,2.3
678,PGC12756,24.128,0.01617498598252886,0.507
679,PGC127623,29.456,0.00033718157672714096,1.888
680,PGC12769,,,
681,PGC12772,61.037,0.0069282301727582336,0.396
682,PGC12776,20.205,0.0020803527343105778,0.965
683,PGC127773,14.238,0.009286617946937357,0.465
684,PGC12780,,,
685,PGC127809,15.024,0.025384451105269396,0.354
