col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2,Re_mine_w3,mse_w3,n_mine_w3,Re_mine_w4,mse_w4,n_mine_w4
ESO119-016,43.7,16172,ESO119-016,0.0153397656977176,9.087395,31.6,LT,ESO119-016,,14.35,0.484,17.81,0.848,43.67,0.3653402292681661,77.95999908447266,b'IB  ',9.699999809265137,100.3554,0.0010186076036236612,0.43515346458685833,0.43545240216271375,100.355,0.0010186076036236612,0.43515519904339595,0.43545413781077175,1.258,1.2201745877788557,4.503071956306617e-05,0.526,62.888,1.022621898405258,109.034,0.00040937158924133846,1.144,117.703,0.0002347943813173676,1.037,98.135,0.007701622234651241,1.031
ESO120-012,26.2,17567,ESO120-012,0.0145820565521717,8.468331,12.8,LT,ESO120-012,,13.84,0.551,97.11,1.118,31.12,0.4217247429425024,50.61000061035156,b'Scd ',7.099999904632568,29.594700000000003,0.01426541459123661,1.0515396337857792,0.8852936505522947,29.595,0.014265414591236614,1.051528974488934,0.8852846764656191,0.891,2.810725552050473,0.0030602626632041576,0.417,27.807,1.3038593708696802,32.936,0.005070257513780759,0.997,35.986,0.004157983180446935,0.914,22.698,0.012830725537118068,0.317
ESO120-021,29.3,18051,ESO120-021,0.0084687378257513,8.292485000000001,24.1,LT,ESO120-021,,15.25,0.461,117.1,0.526,33.04,0.3882653769717853,71.30000305175781,b'IB  ',10.0,36.380700000000004,0.00133016796139722,0.9081738394258493,0.8053720791518579,36.381,0.0013301679613972198,0.908166350567604,0.8053654380033534,0.463,0.812280701754386,0.0002133662072854446,0.441,32.787,0.21184629628551296,36.233,0.0003749332866705314,0.456,3.361,0.00013053285774423598,1.47,171.733,0.00734738208613999,0.57
ESO145-025,35.7,67605,ESO145-025,0.0146493641659617,8.410384,17.1,LT,ESO145-025,,14.05,0.727,128.36,1.247,45.09,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,,,,,,,
ESO146-014,39.9,68305,ESO146-014,0.0223264023661613,8.716743,21.7,LT,ESO146-014,,14.68,0.154,49.02,1.909,55.96,,90.0,b'SBcd',6.5,,,,,,,,,,,,,,,,,,,,,,,
ESO149-001,48.3,72443,ESO149-001,0.0284327398985624,9.75065,22.0,LT,ESO149-001,,13.08,0.225,29.87,1.269,55.44,,90.0,b'SBd ',8.0,,,,,,,,,,,,,,,,,,,,,,,
ESO149-003,23.7,72675,ESO149-003,0.0111126787960529,7.1358027,6.0,LT,ESO149-003,,15.43,0.353,144.64,1.082,26.05,,90.0,b'IB  ',9.699999809265137,,,,,,,,,,,,,,,,,,,,,,,
ESO150-005,46.3,1440,ESO150-005,0.0195802748203277,8.560298,13.7,LT,ESO150-005,,13.39,0.862,32.05,1.722,64.79,1.4407864420868777,57.369998931884766,b'SABd',7.699999809265137,67.51350000000001,0.0036184248232152567,0.9596599198678782,0.6857887681722914,67.514,0.003618424823215258,0.9596528127499483,0.6857836893088841,1.44,0.3943044906900328,9.816147680359293e-05,0.645,52.085,0.021758102648588303,118.149,0.0010709145655930408,1.804,129.179,0.0008169808114176384,1.958,3102.936,0.020748540985842043,3.652
ESO154-023,133.8,11139,ESO154-023,0.0677358731627464,8.5111265,5.86,,ESO154-023,,12.45,0.211,39.55,1.068,142.33,,90.0,b'SBm ',8.899999618530273,,,,,,,,,,,,,,,,,,,,,,,
ESO157-049,14.0,15749,ESO157-049,0.0143819833174347,9.32474,17.3,LT,ESO157-049,,12.71,0.15,30.37,1.079,17.31,0.2961073704787286,79.2699966430664,b'Sc  ',4.800000190734863,23.3325,0.9323133804725531,0.7418836387013822,0.6000214293367621,23.332,0.9323133804725532,0.7418995371164065,0.6000342876735814,0.455,1.82,9.680805768168821e-05,0.828,32.075,0.9286737780608184,24.96,0.5108477668556378,0.475,24.695,11.41467575534633,0.319,25.124,13.640870264572635,0.25
ESO159-025,24.1,17652,ESO159-025,0.0094584226608276,8.111497,16.4,LT,ESO159-025,,14.9,0.747,90.02,0.857,28.4,0.3254649110617666,47.16999816894531,b'IB  ',10.0,31.953599999999998,0.0007272309115927515,0.8887887436783336,0.7542186169946423,31.954,0.0007272309115927513,0.8887776178256243,0.7542091756900545,0.855,5.245398773006134,0.00018760992943968522,0.957,29.439,1.4982885544145916,38.624,0.0002605191935601842,0.921,30.614,0.0004952289082786076,0.544,21.327,0.009236125788636118,0.163
ESO187-035,24.5,65762,ESO187-035,0.0130262309685349,8.488936,24.0,LT,ESO187-035,,15.14,0.407,114.9,1.476,36.5,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,,,,,,,
